Código;Ação;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;129.507.288;0,214
ABCB4;ABC BRASIL;70.580.422;0,04
AERI3;AERIS;218.058.827;0,079
AESB3;AES BRASIL;149.647.285;0,076
ALSO3;ALIANSCSONAE;127.376.805;0,135
AALR3;ALLIAR;46.716.473;0,02
ALPA4;ALPARGATAS;168.770.200;0,309
ALUP11;ALUPAR;178.970.157;0,172
AMBP3;AMBIPAR;43.733.334;0,073
ANIM3;ANIMA;288.432.555;0,145
ARZZ3;AREZZO CO;45.095.471;0,156
ASAI3;ASSAI;156.928.631;0,495
AZUL4;AZUL;327.262.616;0,524
BTOW3;B2W DIGITAL;201.802.882;0,488
B3SA3;B3;6.119.434.194;3,755
BMGB4;BANCO BMG;99.052.274;0,018
BIDI4;BANCO INTER;100.239.024;0,096
BIDI11;BANCO INTER;453.631.743;1,287
BPAN4;BANCO PAN;341.124.068;0,299
BRSR6;BANRISUL;202.531.540;0,098
BBSE3;BBSEGURIDADE;671.584.841;0,566
BKBR3;BK BRASIL;272.245.759;0,118
BRML3;BR MALLS PAR;843.728.684;0,313
BRPR3;BR PROPERT;198.812.616;0,067
BBDC3;BRADESCO;1.253.093.907;0,999
BBDC4;BRADESCO;4.261.649.634;4,001
BRAP4;BRADESPAR;222.604.507;0,604
BBAS3;BRASIL;1.283.197.221;1,504
AGRO3;BRASILAGRO;51.771.532;0,056
BRKM5;BRASKEM;264.640.575;0,575
BRFS3;BRF SA;811.759.800;0,809
BPAC11;BTGP BANCO;1.041.983.176;1,16
CAML3;CAMIL;116.264.997;0,04
CRFB3;CARREFOUR BR;391.758.726;0,301
CCRO3;CCR SA;1.115.693.556;0,547
CEAB3;CEA MODAS;106.394.635;0,056
CMIG3;CEMIG;266.451.715;0,142
CMIG4;CEMIG;1.081.211.185;0,478
CESP6;CESP;182.017.689;0,159
HGTX3;CIA HERING;126.186.408;0,157
CIEL3;CIELO;1.112.196.638;0,148
COGN3;COGNA ON;1.847.994.874;0,292
CSMG3;COPASA;188.444.559;0,107
CPLE3;COPEL;71.640.156;0,015
CPLE6;COPEL;570.829.074;0,123
CSAN3;COSAN;1.169.237.744;1,022
CPFE3;CPFL ENERGIA;187.714.249;0,184
CURY3;CURY S/A;104.545.454;0,039
CVCB3;CVC BRASIL;225.955.651;0,229
