Código;Ação;Qtde. Teórica;Part. (%)
AALR3;ALLIAR;46.716.473;0,073
ALPA4;ALPARGATAS;168.770.200;1,126
ABEV3;AMBEV S/A;4.358.542.894;9,894
ANIM3;ANIMA;288.432.555;0,53
ARZZ3;AREZZO CO;45.095.471;0,567
ASAI3;ASSAI;156.928.631;1,806
BTOW3;B2W DIGITAL;201.802.882;1,778
BKBR3;BK BRASIL;272.245.759;0,432
AGRO3;BRASILAGRO;51.771.532;0,206
BRFS3;BRF SA;811.759.800;2,95
CAML3;CAMIL;116.264.997;0,147
CRFB3;CARREFOUR BR;391.758.726;1,094
CEAB3;CEA MODAS;106.394.635;0,203
HGTX3;CIA HERING;126.186.408;0,574
COGN3;COGNA ON;1.847.994.874;1,065
CURY3;CURY S/A;104.545.454;0,142
CVCB3;CVC BRASIL;225.955.651;0,833
CYRE3;CYRELA REALT;281.154.098;0,873
PNVL3;DIMED;68.859.355;0,196
DIRR3;DIRECIONAL;81.360.368;0,151
EVEN3;EVEN;209.535.948;0,291
EZTC3;EZTEC;95.756.217;0,396
FLRY3;FLEURY;303.800.430;1,047
GFSA3;GAFISA;118.208.091;0,07
GRND3;GRENDENE;268.371.180;0,358
GMAT3;GRUPO MATEUS;463.952.163;0,489
NTCO3;GRUPO NATURA;841.433.075;6,349
SBFG3;GRUPO SBF;88.709.474;0,451
SOMA3;GRUPO SOMA;183.851.421;0,39
GUAR3;GUARARAPES;81.944.760;0,227
HAPV3;HAPVIDA;1.265.256.490;2,593
HBOR3;HELBOR;65.261.522;0,073
HYPE3;HYPERA;410.147.968;1,88
PARD3;IHPARDINI;43.661.030;0,122
MEAL3;IMC S/A;264.441.032;0,143
GNDI3;INTERMEDICA;593.438.080;6,702
MYPK3;IOCHP-MAXION;141.465.625;0,302
JBSS3;JBS;1.388.025.890;5,371
JHSF3;JHSF PART;288.832.602;0,279
LAVV3;LAVVI;93.139.429;0,103
RENT3;LOCALIZA;593.841.434;5,054
LCAM3;LOCAMERICA;323.763.077;1,18
LAME3;LOJAS AMERIC;249.502.964;0,686
LAME4;LOJAS AMERIC;847.010.651;2,431
AMAR3;LOJAS MARISA;111.476.495;0,137
LREN3;LOJAS RENNER;887.417.914;5,22
MDIA3;M.DIASBRANCO;83.669.782;0,363
MGLU3;MAGAZ LUIZA;2.668.955.512;7,506
MRFG3;MARFRIG;368.864.634;0,939
LEVE3;METAL LEVE;38.492.519;0,171
BEEF3;MINERVA;240.482.896;0,299
MTRE3;MITRE REALTY;54.039.454;0,086
MOVI3;MOVIDA;132.113.940;0,346
MRVE3;MRV;293.978.672;0,638
ODPV3;ODONTOPREV;263.448.316;0,456
PCAR3;P.ACUCAR-CBD;156.928.631;0,807
PETZ3;PETZ;261.956.811;0,897
QUAL3;QUALICORP;283.467.789;1,09
LJQQ3;QUERO-QUERO;177.734.774;0,541
RADL3;RAIADROGASIL;1.072.645.150;3,525
RDOR3;REDE D OR;903.127.590;8,29
SMTO3;SAO MARTINHO;143.032.073;0,687
SEER3;SER EDUCA;54.346.207;0,136
SLCE3;SLC AGRICOLA;86.086.214;0,587
TCSA3;TECNISA;54.501.246;0,061
TEND3;TENDA;96.408.761;0,321
TRIS3;TRISUL;78.643.944;0,102
VVAR3;VIAVAREJO;1.595.508.601;3,35
VIVA3;VIVARA S.A.;93.368.726;0,409
VULC3;VULCABRAS;74.685.291;0,097
YDUQ3;YDUQS PART;300.483.575;1,312
