Código;Ação;Qtde. Teórica;Part. (%)
ALSO3;ALIANSCSONAE;127.376.805;6,786
BRML3;BR MALLS PAR;843.728.684;15,897
BRPR3;BR PROPERT;198.812.616;3,399
CURY3;CURY S/A;104.545.454;1,998
CYRE3;CYRELA REALT;281.154.098;12,154
DIRR3;DIRECIONAL;81.360.368;2,125
EVEN3;EVEN;209.535.948;4,036
EZTC3;EZTEC;95.756.217;5,547
GFSA3;GAFISA;118.208.091;0,986
HBOR3;HELBOR;65.261.522;1,01
IGTA3;IGUATEMI;85.796.919;6,412
JPSA3;JEREISSATI;34.833.911;2,193
JHSF3;JHSF PART;288.832.602;3,89
LAVV3;LAVVI;93.139.429;1,41
LOGG3;LOG COM PROP;59.190.591;3,526
LPSB3;LOPES BRASIL;114.874.308;0,982
MTRE3;MITRE REALTY;54.039.454;1,171
MRVE3;MRV;293.978.672;9,001
MULT3;MULTIPLAN;245.888.754;10,634
TCSA3;TECNISA;54.501.246;0,848
TEND3;TENDA;96.408.761;4,539
TRIS3;TRISUL;78.643.944;1,456
