Código;Ação;Qtde. Teórica;Part. (%)
AZUL4;AZUL;327.262.616;1,543
BTOW3;B2W DIGITAL;201.802.882;1,418
BBSE3;BBSEGURIDADE;671.584.841;1,673
BRML3;BR MALLS PAR;843.728.684;0,897
BRAP4;BRADESPAR;222.604.507;1,769
BRFS3;BRF SA;811.759.800;2,354
CRFB3;CARREFOUR BR;391.758.726;0,878
CCRO3;CCR SA;1.115.693.556;1,619
CMIG4;CEMIG;1.081.211.185;1,379
CIEL3;CIELO;1.112.196.638;0,431
COGN3;COGNA ON;1.847.994.874;0,844
CSAN3;COSAN;1.169.237.744;3,014
CVCB3;CVC BRASIL;225.955.651;0,653
CYRE3;CYRELA REALT;281.154.098;0,686
ELET3;ELETROBRAS;358.018.408;1,667
EMBR3;EMBRAER;736.143.105;1,479
EQTL3;EQUATORIAL;1.010.286.085;2,627
GGBR4;GERDAU;995.903.643;3,092
GOAU4;GERDAU MET;693.699.918;1,014
GOLL4;GOL;178.123.292;0,434
NTCO3;GRUPO NATURA;841.433.075;5,163
HAPV3;HAPVIDA;1.265.256.490;2,034
HYPE3;HYPERA;410.147.968;1,498
GNDI3;INTERMEDICA;593.438.080;5,317
ITSA4;ITAUSA;4.515.538.171;5,409
JBSS3;JBS;1.388.025.890;4,335
KLBN11;KLABIN S/A;922.294.338;2,62
RENT3;LOCALIZA;593.841.434;3,98
LWSA3;LOCAWEB;427.663.748;1,197
LAME4;LOJAS AMERIC;847.010.651;1,915
LREN3;LOJAS RENNER;887.417.914;4,076
MRFG3;MARFRIG;368.864.634;0,769
BEEF3;MINERVA;240.482.896;0,241
MULT3;MULTIPLAN;245.888.754;0,6
PCAR3;P.ACUCAR-CBD;156.928.631;0,643
BRDT3;PETROBRAS BR;1.164.958.126;3,573
PRIO3;PETRORIO;807.220.415;1,778
QUAL3;QUALICORP;283.467.789;0,863
RADL3;RAIADROGASIL;1.072.645.150;2,829
RAIL3;RUMO S.A.;1.218.081.171;2,58
SBSP3;SABESP;339.999.111;1,316
CSNA3;SID NACIONAL;642.398.790;2,992
SULA11;SUL AMERICA;284.566.116;1,043
SUZB3;SUZANO S.A.;724.921.241;4,69
VIVT3;TELEF BRASIL;444.219.852;1,982
TIMS3;TIM;808.485.985;0,986
TOTS3;TOTVS;480.228.410;1,877
UGPA3;ULTRAPAR;1.085.987.426;2,117
USIM5;USIMINAS;513.796.208;1,063
YDUQ3;YDUQS PART;300.483.575;1,043
