Código;Ação;Qtde. Teórica;Part. (%)
ALPA4;ALPARGATAS;168.770.200;0,335
ABEV3;AMBEV S/A;4.358.542.894;2,981
ASAI3;ASSAI;156.928.631;0,535
BTOW3;B2W DIGITAL;201.802.882;0,526
B3SA3;B3;6.119.434.194;3,971
BIDI4;BANCO INTER;100.239.024;0,103
BIDI11;BANCO INTER;453.631.743;1,397
BBSE3;BBSEGURIDADE;671.584.841;0,62
BBDC3;BRADESCO;1.253.093.907;1,078
BBDC4;BRADESCO;4.261.649.634;4,303
BRAP4;BRADESPAR;222.604.507;0,656
BBAS3;BRASIL;1.283.197.221;1,622
BRKM5;BRASKEM;264.640.575;0,614
BRFS3;BRF SA;811.759.800;0,873
BPAC11;BTGP BANCO;1.041.983.176;1,249
CRFB3;CARREFOUR BR;391.758.726;0,326
CCRO3;CCR SA;1.115.693.556;0,6
CMIG3;CEMIG;266.451.715;0,151
CMIG4;CEMIG;1.081.211.185;0,511
CPLE3;COPEL;71.640.156;0,016
CPLE6;COPEL;570.829.074;0,135
CSAN3;COSAN;1.169.237.744;1,118
CPFE3;CPFL ENERGIA;187.714.249;0,198
ELET3;ELETROBRAS;358.018.408;0,618
ELET6;ELETROBRAS;242.977.127;0,418
ENGI11;ENERGISA;250.679.709;0,454
ENEV3;ENEVA;1.258.511.620;0,844
EGIE3;ENGIE BRASIL;254.792.279;0,396
EQTL3;EQUATORIAL;1.010.286.085;0,974
GGBR4;GERDAU;995.903.643;1,146
GMAT3;GRUPO MATEUS;463.952.163;0,144
NTCO3;GRUPO NATURA;841.433.075;1,914
HAPV3;HAPVIDA;1.265.256.490;0,754
HYPE3;HYPERA;410.147.968;0,556
GNDI3;INTERMEDICA;593.438.080;1,972
ITSA4;ITAUSA;4.515.538.171;2,006
ITUB3;ITAUUNIBANCO;384.789.136;0,406
ITUB4;ITAUUNIBANCO;4.770.095.054;5,632
JBSS3;JBS;1.388.025.890;1,608
KLBN11;KLABIN S/A;922.294.338;0,971
RENT3;LOCALIZA;593.841.434;1,476
LAME3;LOJAS AMERIC;249.502.964;0,2
LAME4;LOJAS AMERIC;847.010.651;0,71
LREN3;LOJAS RENNER;887.417.914;1,511
MGLU3;MAGAZ LUIZA;2.668.955.512;2,196
NEOE3;NEOENERGIA;226.098.192;0,155
PETR3;PETROBRAS;3.684.060.179;4,36
PETR4;PETROBRAS;4.566.457.037;5,277
BRDT3;PETROBRAS BR;1.164.958.126;1,325
PSSA3;PORTO SEGURO;93.637.072;0,202
RADL3;RAIADROGASIL;1.072.645.150;1,049
RDOR3;REDE D OR;903.127.590;2,489
RAIL3;RUMO S.A.;1.218.081.171;0,957
SBSP3;SABESP;339.999.111;0,488
SANB11;SANTANDER BR;355.642.348;0,574
CSNA3;SID NACIONAL;642.398.790;1,109
SULA11;SUL AMERICA;284.566.116;0,387
SUZB3;SUZANO S.A.;724.921.241;1,739
VIVT3;TELEF BRASIL;444.219.852;0,735
TIMS3;TIM;808.485.985;0,366
TOTS3;TOTVS;480.228.410;0,696
TRPL4;TRAN PAULIST;395.797.044;0,386
UGPA3;ULTRAPAR;1.085.987.426;0,785
USIM5;USIMINAS;513.796.208;0,394
VALE3;VALE;5.130.801.424;22,703
VVAR3;VIAVAREJO;1.595.508.601;0,981
WEGE3;WEG;1.482.296.002;2,019
