Código;Ação;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;129.507.288;1,521
ABCB4;ABC BRASIL;70.580.422;0,276
AERI3;AERIS;218.058.827;0,563
AESB3;AES BRASIL;149.647.285;0,533
ALSO3;ALIANSCSONAE;127.376.805;0,917
AALR3;ALLIAR;46.716.473;0,15
ALUP11;ALUPAR;178.970.157;1,213
AMBP3;AMBIPAR;43.733.334;0,512
ANIM3;ANIMA;288.432.555;1,025
ARZZ3;AREZZO CO;45.095.471;1,08
AZUL4;AZUL;327.262.616;3,694
BMGB4;BANCO BMG;99.052.274;0,119
BPAN4;BANCO PAN;341.124.068;2,018
BRSR6;BANRISUL;202.531.540;0,677
BKBR3;BK BRASIL;272.245.759;0,83
BRML3;BR MALLS PAR;843.728.684;2,149
BRPR3;BR PROPERT;198.812.616;0,459
AGRO3;BRASILAGRO;51.771.532;0,393
CAML3;CAMIL;116.264.997;0,284
CEAB3;CEA MODAS;106.394.635;0,381
CESP6;CESP;182.017.689;1,117
HGTX3;CIA HERING;126.186.408;1,097
CIEL3;CIELO;1.112.196.638;1,031
COGN3;COGNA ON;1.847.994.874;2,021
CSMG3;COPASA;188.444.559;0,721
CVCB3;CVC BRASIL;225.955.651;1,563
CYRE3;CYRELA REALT;281.154.098;1,643
PNVL3;DIMED;68.859.355;0,366
DIRR3;DIRECIONAL;81.360.368;0,287
DTEX3;DURATEX;273.813.447;1,602
ECOR3;ECORODOVIAS;172.602.770;0,525
EMBR3;EMBRAER;736.143.105;3,542
ENAT3;ENAUTA PART;75.939.767;0,365
ENBR3;ENERGIAS BR;231.489.471;1,044
ENJU3;ENJOEI;167.521.497;0,446
EVEN3;EVEN;209.535.948;0,546
EZTC3;EZTEC;95.756.217;0,75
FESA4;FERBASA;40.145.300;0,449
FLRY3;FLEURY;303.800.430;1,986
GFSA3;GAFISA;118.208.091;0,133
GOAU4;GERDAU MET;693.699.918;2,428
GOLL4;GOL;178.123.292;1,04
GRND3;GRENDENE;268.371.180;0,684
SBFG3;GRUPO SBF;88.709.474;0,873
SOMA3;GRUPO SOMA;183.851.421;0,736
GUAR3;GUARARAPES;81.944.760;0,429
HBOR3;HELBOR;65.261.522;0,137
HBSA3;HIDROVIAS;325.623.566;0,54
IGTA3;IGUATEMI;85.796.919;0,867
PARD3;IHPARDINI;43.661.030;0,234
MEAL3;IMC S/A;264.441.032;0,268
ROMI3;INDS ROMI;37.272.660;0,236
MYPK3;IOCHP-MAXION;141.465.625;0,589
RANI3;IRANI;85.725.289;0,199
IRBR3;IRBBRASIL RE;1.255.286.531;1,843
JPSA3;JEREISSATI;34.833.911;0,296
JHSF3;JHSF PART;288.832.602;0,526
LAVV3;LAVVI;93.139.429;0,191
LIGT3;LIGHT S/A;372.555.324;1,433
LCAM3;LOCAMERICA;323.763.077;2,256
LWSA3;LOCAWEB;427.663.748;2,867
LOGG3;LOG COM PROP;59.190.591;0,477
LOGN3;LOG-IN;100.109.944;0,472
AMAR3;LOJAS MARISA;111.476.495;0,249
LPSB3;LOPES BRASIL;114.874.308;0,133
MDIA3;M.DIASBRANCO;83.669.782;0,676
POMO4;MARCOPOLO;573.419.889;0,512
MRFG3;MARFRIG;368.864.634;1,842
CASH3;MELIUZ;74.543.311;0,912
LEVE3;METAL LEVE;38.492.519;0,325
MILS3;MILLS;115.486.678;0,26
BEEF3;MINERVA;240.482.896;0,576
MTRE3;MITRE REALTY;54.039.454;0,158
MOVI3;MOVIDA;132.113.940;0,66
MRVE3;MRV;293.978.672;1,217
MULT3;MULTIPLAN;245.888.754;1,438
NGRD3;NEOGRID;108.100.000;0,17
ODPV3;ODONTOPREV;263.448.316;0,861
OMGE3;OMEGA GER;122.249.557;1,171
PCAR3;P.ACUCAR-CBD;156.928.631;1,54
PRIO3;PETRORIO;807.220.415;4,257
PETZ3;PETZ;261.956.811;1,675
PTBL3;PORTOBELLO;69.996.578;0,316
POSI3;POSITIVO TEC;78.616.498;0,245
QUAL3;QUALICORP;283.467.789;2,066
LJQQ3;QUERO-QUERO;177.734.774;1,032
RAPT4;RANDON PART;177.421.406;0,61
RCSL4;RECRUSUL;50.414.424;0,027
SAPR4;SANEPAR;203.503.821;0,212
SAPR11;SANEPAR;200.991.234;1,036
STBP3;SANTOS BRP;857.995.211;2,042
SMTO3;SAO MARTINHO;143.032.073;1,325
SEQL3;SEQUOIA LOG;109.785.229;0,806
SEER3;SER EDUCA;54.346.207;0,248
SIMH3;SIMPAR;85.662.375;1,226
SQIA3;SINQIA;58.702.058;0,367
SLCE3;SLC AGRICOLA;86.086.214;1,149
TAEE11;TAESA;218.568.274;2,067
TASA4;TAURUS ARMAS;48.884.169;0,302
TCSA3;TECNISA;54.501.246;0,115
TGMA3;TEGMA;32.001.480;0,189
TEND3;TENDA;96.408.761;0,614
TRIS3;TRISUL;78.643.944;0,197
TUPY3;TUPY;66.821.197;0,395
UNIP6;UNIPAR;44.332.601;1,121
VLID3;VALID;78.582.401;0,214
VIVA3;VIVARA S.A.;93.368.726;0,767
VULC3;VULCABRAS;74.685.291;0,195
WIZS3;WIZ S.A.;77.719.799;0,337
YDUQ3;YDUQS PART;300.483.575;2,499
