Código;Ação;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;4.787.031.176;4,948
ASAI3;ASSAI;265.105.535;1,389
BTOW3;B2W DIGITAL;346.346.521;1,389
B3SA3;B3;6.650.856.822;6,773
BIDI4;BANCO INTER;474.669.156;0,752
BIDI11;BANCO INTER;581.517.306;2,739
BRML3;BR MALLS PAR;829.351.173;0,509
BBDC3;BRADESCO;1.695.168.382;2,244
BBDC4;BRADESCO;4.649.563.200;7,243
BBAS3;BRASIL;1.596.459.172;3,106
BRKM5;BRASKEM;138.586.385;0,5
BRFS3;BRF SA;701.989.943;1,162
BPAC11;BTGP BANCO;1.432.907.096;2,647
CCRO3;CCR SA;1.770.793.466;1,442
CMIG4;CEMIG;1.564.345.209;1,149
CIEL3;CIELO;935.008.692;0,206
CPLE6;COPEL;1.696.102.848;0,609
CSAN3;COSAN;1.575.378.836;2,285
CPFE3;CPFL ENERGIA;413.538.085;0,674
DTEX3;DURATEX;273.813.447;0,395
ECOR3;ECORODOVIAS;853.978.625;0,613
ELET3;ELETROBRAS;260.088.452;0,68
ELET6;ELETROBRAS;176.514.792;0,462
ENBR3;ENERGIAS BR;127.000.991;0,136
EGIE3;ENGIE BRASIL;62.620.072;0,148
FLRY3;FLEURY;660.040.172;1,036
GGBR4;GERDAU;391.531.361;0,702
GOLL4;GOL;69.968.355;0,097
NTCO3;GRUPO NATURA;1.030.440.669;3,54
HYPE3;HYPERA;236.275.693;0,493
ITSA4;ITAUSA;676.253.233;0,457
ITUB4;ITAUUNIBANCO;5.107.299.218;9,21
JBSS3;JBS;926.919.954;1,633
KLBN11;KLABIN S/A;794.095.693;1,266
LIGT3;LIGHT S/A;795.326.920;0,735
RENT3;LOCALIZA;321.961.419;1,248
LCAM3;LOCAMERICA;695.664.403;1,155
LAME3;LOJAS AMERIC;230.940.852;0,289
LAME4;LOJAS AMERIC;783.996.145;1,024
LREN3;LOJAS RENNER;700.989.325;1,877
MGLU3;MAGAZ LUIZA;3.117.063.335;3,992
MRFG3;MARFRIG;708.091.118;0,821
BEEF3;MINERVA;980.513.229;0,556
MOVI3;MOVIDA;655.523.140;0,781
MRVE3;MRV;812.065.240;0,803
MULT3;MULTIPLAN;497.365.567;0,708
NEOE3;NEOENERGIA;352.202.047;0,37
PCAR3;P.ACUCAR-CBD;384.977.240;0,901
PETR3;PETROBRAS;1.028.175.778;1,886
PETR4;PETROBRAS;1.274.441.863;2,271
BRDT3;PETROBRAS BR;1.562.987.926;2,525
PSSA3;PORTO SEGURO;65.844.540;0,213
RADL3;RAIADROGASIL;1.433.987.959;2,145
RAIL3;RUMO S.A.;938.447.831;1,088
SAPR11;SANEPAR;93.022.011;0,115
SANB11;SANTANDER BR;588.692.698;1,444
SULA11;SUL AMERICA;572.560.641;1,206
SUZB3;SUZANO S.A.;627.705.564;2,273
VIVT3;TELEF BRASIL;319.148.246;0,805
TIMS3;TIM;1.552.592.932;1,084
UGPA3;ULTRAPAR;1.423.070.876;1,585
WEGE3;WEG;1.699.398.094;3,466
