cod_acao;cod_emp
AALR3;AALR
ABCB4;ABCB
ABEV3;ABEV
AERI3;AERI
AESB3;AESB
AGRO3;AGRO
ALLD3;ALLD
ALPA3;ALPA
ALPA4;ALPA
ALPK3;ALPK
ALSO3;ALSO
ALUP11;ALUP
AMAR3;AMAR
AMBP3;AMBP
ANIM3;ANIM
APER3;APER
ARZZ3;ARZZ
ASAI3;ASAI
AVLL3;AVLL
AZUL4;AZUL
B3SA3;B3SA
BAHI3;BAHI
BBAS3;BBAS
BBDC3;BBDC
BBDC4;BBDC
BBRK3;BBRK
BBSE3;BBSE
BEEF3;BEEF
BGIP4;BGIP
BIDI11;BIDI
BIDI4;BIDI
BIOM3;BIOM
BKBR3;BKBR
BLAU3;BLAU
BMEB3;BMEB
BMEB4;BMEB
BMGB4;BMGB
BMOB3;BMOB
BOAS3;BOAS
BPAC11;BPAC
BPAN4;BPAN
BRAP3;BRAP
BRAP4;BRAP
BRBI11;BRBI
BRDT3;BRDT
BRFS3;BRFS
BRKM3;BRKM
BRKM5;BRKM
BRML3;BRML
BRPR3;BRPR
BRSR3;BRSR
BRSR6;BRSR
BTOW3;BTOW
CAML3;CAML
CARD3;CARD
CASH3;CASH
CCPR3;CCPR
CCRO3;CCRO
CEAB3;CEAB
CEDO3;CEDO
CEDO4;CEDO
CESP3;CESP
CESP5;CESP
CESP6;CESP
CGRA3;CGRA
CGRA4;CGRA
CIEL3;CIEL
CLSC4;CLSC
CMIG3;CMIG
CMIG4;CMIG
CMIN3;CMIN
COCE5;COCE
COGN3;COGN
CPFE3;CPFE
CPLE3;CPLE
CPLE6;CPLE
CRDE3;CRDE
CRFB3;CRFB
CSAN3;CSAN
CSED3;CSED
CSMG3;CSMG
CSNA3;CSNA
CTNM4;CTNM
CURY3;CURY
CVCB3;CVCB
CXSE3;CXSE
CYRE3;CYRE
DASA3;DASA
DIRR3;DIRR
DMVF3;DMVF
DOTZ3;DOTZ
DTEX3;DTEX
ECOR3;ECOR
EGIE3;EGIE
ELET3;ELET
ELET6;ELET
ELMD3;ELMD
EMBR3;EMBR
ENAT3;ENAT
ENBR3;ENBR
ENEV3;ENEV
ENGI11;ENGI
ENJU3;ENJU
EQTL3;EQTL
ESPA3;ESPA
EUCA3;EUCA
EUCA4;EUCA
EVEN3;EVEN
EZTC3;EZTC
FESA4;FESA
FLRY3;FLRY
FRAS3;FRAS
GEPA4;GEPA
GFSA3;GFSA
GGBR3;GGBR
GGBR4;GGBR
GGPS3;GGPS
GMAT3;GMAT
GNDI3;GNDI
GOAU3;GOAU
GOAU4;GOAU
GOLL4;GOLL
GRND3;GRND
GSHP3;GSHP
GUAR3;GUAR
HAPV3;HAPV
HBOR3;HBOR
HBRE3;HBRE
HBSA3;HBSA
HGTX3;HGTX
HYPE3;HYPE
IFCM3;IFCM
IGTA3;IGTA
INTB3;INTB
IRBR3;IRBR
ITSA3;ITSA
ITSA4;ITSA
ITUB3;ITUB
ITUB4;ITUB
JALL3;JALL
JBSS3;JBSS
JHSF3;JHSF
JPSA3;JPSA
JSLG3;JSLG
KEPL3;KEPL
KLBN11;KLBN
LAME3;LAME
LAME4;LAME
LAVV3;LAVV
LCAM3;LCAM
LEVE3;LEVE
LIGT3;LIGT
LJQQ3;LJQQ
LOGG3;LOGG
LOGN3;LOGN
LPSB3;LPSB
LREN3;LREN
LWSA3;LWSA
MATD3;MATD
MBLY3;MBLY
MDIA3;MDIA
MDNE3;MDNE
MEAL3;MEAL
MELK3;MELK
MGLU3;MGLU
MILS3;MILS
MODL11;MODL
MODL3;MODL
MODL4;MODL
MOSI3;MOSI
MOVI3;MOVI
MRFG3;MRFG
MRVE3;MRVE
MTIG4;MTIG
MTRE3;MTRE
MULT3;MULT
MYPK3;MYPK
NEOE3;NEOE
NGRD3;NGRD
NINJ3;NINJ
NTCO3;NTCO
ODPV3;ODPV
OFSA3;OFSA
OMGE3;OMGE
OPCT3;OPCT
ORVR3;ORVR
OSXB3;OSXB
PARD3;PARD
PCAR3;PCAR
PDTC3;PDTC
PETR3;PETR
PETR4;PETR
PETZ3;PETZ
PFRM3;PFRM
PGMN3;PGMN
PINE4;PINE
PLPL3;PLPL
PMAM3;PMAM
PNVL3;PNVL
PNVL4;PNVL
POMO3;POMO
POMO4;POMO
POSI3;POSI
POWE3;POWE
PRIO3;PRIO
PRNR3;PRNR
PSSA3;PSSA
PTBL3;PTBL
PTNT4;PTNT
QUAL3;QUAL
RADL3;RADL
RAIL3;RAIL
RANI3;RANI
RAPT3;RAPT
RAPT4;RAPT
RCSL4;RCSL
RDNI3;RDNI
RDOR3;RDOR
RECV3;RECV
RENT3;RENT
ROMI3;ROMI
RRRP3;RRRP
RSID3;RSID
SANB11;SANB
SAPR11;SAPR
SAPR4;SAPR
SBFG3;SBFG
SBSP3;SBSP
SCAR3;SCAR
SEER3;SEER
SEQL3;SEQL
SGPS3;SGPS
SHOW3;SHOW
SIMH3;SIMH
SLCE3;SLCE
SMTO3;SMTO
SOJA3;SOJA
SOMA3;SOMA
SQIA3;SQIA
STBP3;STBP
SULA11;SULA
SUZB3;SUZB
TAEE11;TAEE
TASA3;TASA
TASA4;TASA
TCSA3;TCSA
TECN3;TECN
TEND3;TEND
TESA3;TESA
TFCO4;TFCO
TGMA3;TGMA
TIMS3;TIMS
TOTS3;TOTS
TPIS3;TPIS
TRIS3;TRIS
TRPL3;TRPL
TRPL4;TRPL
TUPY3;TUPY
UCAS3;UCAS
UGPA3;UGPA
UNIP6;UNIP
USIM3;USIM
USIM5;USIM
VALE3;VALE
VAMO3;VAMO
VIVA3;VIVA
VIVT3;VIVT
VLID3;VLID
VULC3;VULC
VVAR3;VVAR
WEGE3;WEGE
WEST3;WEST
WIZS3;WIZS
YDUQ3;YDUQ
