empresa;codigo
ALLIAR;AALR
ABC BRASIL  ;ABCB
AMBEV S/A;ABEV
AERIS;AERI
AES BRASIL;AESB
AES SUL     ;AESL
AFLUENTE T  ;AFLT
BRASILAGRO  ;AGRO
GRUAIRPORT;AGRU
SPTURIS     ;AHEB
ALGAR TELEC;ALGT
ALLIED;ALLD
ALPARGATAS  ;ALPA
ESTAPAR;ALPK
ALIANSCSONAE;ALSO
ALUPAR;ALUP
LOJAS MARISA;AMAR
AMBIPAR;AMBP
AUTOBAN     ;ANHB
ANIMA;ANIM
TRUESEC;APCS
ALPER S.A.;APER
ALIPERTI    ;APTI
AREZZO CO   ;ARZZ
ASSAI;ASAI
ECOPISTAS   ;ASCP
ATMASA;ATMP
ATOMPAR;ATOM
ALPHAVILLE;AVLL
AZEVEDO     ;AZEV
AZUL;AZUL
B3 ;B3SA
BAHEMA      ;BAHI
BAUMER      ;BALM
EXCELSIOR   ;BAUH
AMAZONIA    ;BAZA
BRASIL      ;BBAS
BRADESCO    ;BBDC
BBMLOGISTICA;BBML
BR BROKERS  ;BBRK
BBSEGURIDADE;BBSE
BARDELLA    ;BDLL
BRADESCO LSG;BDLS
MINERVA     ;BEEF
BANESTES    ;BEES
BETAPART    ;BETP
BRAZILIAN FR;BFRE
BANESE      ;BGIP
BANCO INTER;BIDI
BIOMM       ;BIOM
BK BRASIL;BKBR
BLAU;BLAU
MERC BRASIL ;BMEB
BANCO BMG;BMGB
MERC INVEST ;BMIN
BIC MONARK  ;BMKS
BEMOBI TECH;BMOB
NORD BRASIL ;BNBR
BNDESPAR    ;BNDP
BOA VISTA;BOAS
BOMBRIL     ;BOBR
BTGP BANCO;BPAC
BANCO PAN;BPAN
BANPARA     ;BPAR
BRADESPAR   ;BRAP
BR PARTNERS;BRBI
PETROBRAS BR;BRDT
BRF SA   ;BRFS
ALFA CONSORC;BRGE
ALFA INVEST ;BRIV
BRASKEM     ;BRKM
BR MALLS PAR;BRML
BR PROPERT  ;BRPR
BRQ;BRQB
BANRISUL    ;BRSR
BRAZILIAN SC;BSCS
BRB BANCO   ;BSLI
B2W DIGITAL;BTOW
BRAZIL REALT;BZRS
CABINDA PART;CABI
CACONDE PART;CACO
CONST A LIND;CALI
CAMBUCI     ;CAMB
CAMIL;CAML
CSU CARDSYST;CARD
MELIUZ;CASH
CASAN       ;CASN
IND CATAGUAS;CATA
AMPLA ENERG ;CBEE
CIBRASEC;CBSC
CYRE COM-CCP;CCPR
CCR SA      ;CCRO
CEA MODAS;CEAB
CEB         ;CEBR
CEDRO       ;CEDO
COELBA      ;CEEB
CEEE-D      ;CEED
CEG         ;CEGR
CELPE       ;CEPE
CESP        ;CESP
COMGAS      ;CGAS
GRAZZIOTIN  ;CGRA
CIELO       ;CIEL
CELESC      ;CLSC
CEMIG DIST  ;CMGD
CEMIG GT    ;CMGT
CEMIG       ;CMIG
CSNMINERACAO;CMIN
CIMS        ;CMSA
CINESYSTEM;CNSY
CENTAURO;CNTO
COELCE      ;COCE
COGNA ON;COGN
ROD COLINAS ;COLN
COR RIBEIRO ;CORR
CPFL ENERGIA;CPFE
CPFL GERACAO;CPFG
CPFL PIRATIN;CPFP
COPEL       ;CPLE
CPFL RENOVAV;CPRE
CACHOEIRA;CPTE
RT BANDEIRAS;CRBD
CR2         ;CRDE
CARREFOUR BR;CRFB
ALFA FINANC ;CRIV
CRISTAL;CRPG
CONC RIO TER;CRTE
SEG AL BAHIA;CSAB
COSAN       ;CSAN
CRUZEIRO EDU;CSED
COPASA      ;CSMG
SID NACIONAL;CSNA
COSERN      ;CSRN
CEPAC - CTBA;CTBA
KARSTEN     ;CTKA
COTEMINAS   ;CTNM
SANTANENSE  ;CTSA
CURY S/A;CURY
CVC BRASIL;CVCB
CAIXA SEGURI;CXSE
CYRELA REALT;CYRE
DASA        ;DASA
DIBENS LSG  ;DBEN
DEXXOS PAR;DEXP
DIRECIONAL  ;DIRR
DOMMO;DMMO
D1000VFARMA;DMVF
DOHLER      ;DOHL
DOTZ SA;DOTZ
DTCOM-DIRECT;DTCY
DURATEX     ;DTEX
ACO ALTONA  ;EALT
EBE         ;EBEN
ECO SEC AGRO;ECOA
ECORODOVIAS ;ECOR
ECOVIAS     ;ECOV
ENCORPAR    ;ECPR
CEEE-GT     ;EEEL
ENGIE BRASIL;EGIE
ELEKTRO     ;EKTR
ELETROBRAS  ;ELET
ELETROMIDIA;ELMD
EMAE        ;EMAE
EMBRAER     ;EMBR
ENAUTA PART;ENAT
ENERGIAS BR ;ENBR
ENERSUL     ;ENER
ENEVA;ENEV
ENERGISA    ;ENGI
ENJOEI;ENJU
ENERGISA MT;ENMT
EMBPAR S/A;EPAR
EQTLMARANHAO;EQMA
EQTL PARA;EQPA
EQUATORIAL  ;EQTL
ECON        ;ERDV
ESCELSA     ;ESCE
ESPACOLASER;ESPA
ESTRELA     ;ESTR
ETERNIT     ;ETER
EUCATEX     ;EUCA
EVEN        ;EVEN
EZTEC       ;EZTC
FERBASA     ;FESA
FGENERGIA;FGEN
FER HERINGER;FHER
INVEST BEMGE;FIGE
FLEX S/A;FLEX
FLEURY      ;FLRY
FINANSINOS  ;FNCN
FRAS-LE     ;FRAS
METALFRIO   ;FRIO
ALL NORTE   ;FRRN
POMIFRUTAS;FRTA
G2D INVEST;G2DI
GAIA AGRO   ;GAFL
GAIA SECURIT;GAIA
ALL PAULISTA;GASC
GER PARANAP ;GEPA
GAFISA      ;GFSA
GERDAU      ;GGBR
GPS;GGPS
GRUPO MATEUS;GMAT
INTERMEDICA;GNDI
GERDAU MET  ;GOAU
GOL         ;GOLL
CELGPAR     ;GPAR
GP INVEST   ;GPIV
AGRIBRASIL;GRAO
GRENDENE    ;GRND
GENERALSHOPP;GSHP
GUARARAPES  ;GUAR
HAGA S/A    ;HAGA
HAPVIDA;HAPV
HELBOR      ;HBOR
HBR REALTY;HBRE
HIDROVIAS;HBSA
HABITASUL   ;HBTS
HERCULES    ;HETA
CIA HERING  ;HGTX
HOTEIS OTHON;HOOT
HYPERA;HYPE
INFRACOMM;IFCM
IGB S/A     ;IGBR
IGUA SA  ;IGSN
IGUATEMI    ;IGTA
INEPAR      ;INEP
INTER SA ;INNT
INTELBRAS;INTB
IRBBRASIL RE;IRBR
ITAPEBI     ;ITPB
ITAUSA      ;ITSA
ITAUUNIBANCO;ITUB
INVEPAR     ;IVPR
JALLESMACHAD;JALL
J B DUARTE  ;JBDU
JBS         ;JBSS
JOAO FORTES ;JFEN
JHSF PART   ;JHSF
J.MACEDO    ;JMCD
JOSAPAR     ;JOPA
JEREISSATI  ;JPSA
JSL         ;JSLG
KEPLER WEBER;KEPL
KALLAS;KLAS
KLABIN S/A  ;KLBN
LOJAS AMERIC;LAME
LAVVI;LAVV
LOCAMERICA;LCAM
METAL LEVE  ;LEVE
LIGHT       ;LIGH
LIGHT S/A   ;LIGT
LINX;LINX
ELETROPAR   ;LIPR
QUERO-QUERO;LJQQ
LE LIS BLANC;LLIS
LIFEMED;LMED
LOG COM PROP;LOGG
LOG-IN      ;LOGN
LOPES BRASIL;LPSB
LOJAS RENNER;LREN
LITEL       ;LTEL
LITELA;LTLA
LUPATECH    ;LUPA
TREVISA     ;LUXM
LOCAWEB;LWSA
CEMEPE      ;MAPT
MATER DEI;MATD
MOBLY;MBLY
CEPAC - MCRJ;MCRJ
M.DIASBRANCO;MDIA
MOURA DUBEUX;MDNE
IMC S/A;MEAL
MELNICK;MELK
MERC FINANC ;MERC
MANGELS INDL;MGEL
MGI PARTICIP;MGIP
MAGAZ LUIZA ;MGLU
MILLS       ;MILS
MINASMAQUINA;MMAQ
MMX MINER   ;MMXM
MUNDIAL     ;MNDL
MINUPAR     ;MNPR
MENEZES CORT;MNZC
MONT ARANHA ;MOAR
MODALMAIS;MODL
MOSAICO;MOSI
MOVIDA;MOVI
MARFRIG     ;MRFG
MRS LOGIST  ;MRSA
MRV         ;MRVE
MELHOR SP   ;MSPA
MAESTROLOC;MSRO
METAL IGUACU;MTIG
MITRE REALTY;MTRE
METISA      ;MTSA
MULTIPLAN   ;MULT
WETZEL S/A  ;MWET
IOCHP-MAXION;MYPK
SUZANO HOLD ;NEMO
NEOENERGIA  ;NEOE
NEOGRID;NGRD
GETNINJAS;NINJ
NORDON MET  ;NORD
NORTCQUIMICA;NRTQ
GRUPO NATURA      ;NTCO
NUTRIPLANT  ;NUTR
OCTANTE SEC;OCTS
ODERICH     ;ODER
ODONTOPREV  ;ODPV
OUROFINO S/A;OFSA
OI;OIBR
OMEGA GER;OMGE
OCEANPACT;OPCT
GAMA PART   ;OPGM
OPPORT ENERG;OPHE
SUDESTE S/A ;OPSE
SUL 116 PART;OPTS
ORIZON;ORVR
OSX BRASIL  ;OSXB
PAUL F LUZ  ;PALF
IHPARDINI;PARD
PANATLANTICA;PATI
P.ACUCAR-CBD;PCAR
PDG REALT   ;PDGR
PDG SECURIT ;PDGS
PADTEC;PDTC
PAR AL BAHIA;PEAB
PETROBRAS   ;PETR
PETZ;PETZ
PROFARMA    ;PFRM
PAGUE MENOS;PGMN
PINE        ;PINE
PLASCAR PART;PLAS
PLANOEPLANO;PLPL
POLO CAP SEC;PLSC
PARANAPANEMA;PMAM
CEPAC - PMSP;PMSP
DIMED       ;PNVL
MARCOPOLO   ;POMO
POSITIVO TEC;POSI
FOCUS ON;POWE
POLPAR      ;PPAR
PPLA;PPLA
PARANA      ;PRBC
PETRORIO;PRIO
PROMAN      ;PRMN
PRINER;PRNR
PROMPT PART ;PRPT
PORTO SEGURO;PSSA
PORTO VM;PSVM
PORTOBELLO  ;PTBL
PRATICA;PTCA
PETTENATI   ;PTNT
QUALICORP   ;QUAL
QUALITY SOFT;QUSW
524 PARTICIP;QVQP
RAIADROGASIL    ;RADL
RUMO S.A.;RAIL
IRANI ;RANI
RANDON PART ;RAPT
RBCAPITALRES;RBRA
RECRUSUL    ;RCSL
RNI;RDNI
REDE D OR;RDOR
ROD TIETE   ;RDVT
PETRORECSA ;RECV
REDE ENERGIA;REDE
LOCALIZA    ;RENT
RAIZEN ENERG;RESA
COSAN LOG;RLOG
RENOVA      ;RNEW
INDS ROMI   ;ROMI
ALFA HOLDING;RPAD
PET MANGUINH;RPMG
CONC RAPOSO ;RPTA
3R PETROLEUM;RRRP
ROSSI RESID ;RSID
RIOSULENSE  ;RSUL
SALUS INFRA;SAIP
SANTANDER BR;SANB
SANEPAR     ;SAPR
GRUPO SBF;SBFG
SABESP      ;SBSP
SAO CARLOS  ;SCAR
SER EDUCA;SEER
SEQUOIA LOG;SEQL
SPRINGS     ;SGPS
TIME FOR FUN;SHOW
SCHULZ      ;SHUL
SIMPAR;SIMH
SLC AGRICOLA;SLCE
SARAIVA LIVR;SLED
SMART FIT;SMFT
SMILES;SMLS
SAO MARTINHO;SMTO
SANESALTO   ;SNST
SANSUY      ;SNSY
BOA SAFRA;SOJA
GRUPO SOMA;SOMA
SONDOTECNICA;SOND
SINQIA;SQIA
SANTOS BRP  ;STBP
STO ANTONIO;STEN
STATKRAFT;STKF
STARA;STTR
SUL AMERICA ;SULA
SUZANO S.A.;SUZB
TAESA       ;TAEE
TAURUS ARMAS;TASA
TECNOSOLO   ;TCNO
TECNISA     ;TCSA
TECHNOS     ;TECN
TEGRA INCORP;TEGA
TEKA        ;TEKA
TELEBRAS    ;TELB
TENDA;TEND
TERM. PE III;TEPE
TERRA SANTA;TESA
TRACK FIELD;TFCO
TEGMA       ;TGMA
TIM;TIMS
TEKNO       ;TKNO
TERMOPE     ;TMPE
TOTVS       ;TOTS
TRIUNFO PART;TPIS
TRIANGULOSOL;TRIA
TRISUL      ;TRIS
TRAN PAULIST;TRPL
TUPY        ;TUPY
TEX RENAUX  ;TXRX
UNICASA;UCAS
ULTRAPAR    ;UGPA
UNIDAS      ;UNID
UNIPAR      ;UNIP
UPTICK      ;UPKP
USIMINAS    ;USIM
VALE        ;VALE
VAMOS;VAMO
VERTCIASEC;VERT
VIVARA S.A.;VIVA
VIVER       ;VIVR
TELEF BRASIL;VIVT
VALID       ;VLID
VIAOESTE    ;VOES
FER C ATLANT;VSPT
VULCABRAS   ;VULC
VIAVAREJO;VVAR
WEG         ;WEGE
WESTWING;WEST
WHIRLPOOL   ;WHRL
WIZ S.A.;WIZS
WLM IND COM ;WLMM
WILSON SONS ;WSON
WTORRE PIC  ;WTPI
BRPR 56 SEC;WTVR
YBYRA S/A;YBRA
YDUQS PART;YDUQ
