Código;Ação;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;4.358.542.894;3,243
ASAI3;ASSAI;88.180.251;0,333
AZUL4;AZUL;327.262.616;0,626
BTOW3;B2W DIGITAL;201.802.882;0,583
B3SA3;B3;6.119.434.194;4,487
BIDI11;BANCO INTER;235.350.939;0,798
BBSE3;BBSEGURIDADE;671.584.841;0,676
BRML3;BR MALLS PAR;843.728.684;0,373
BBDC3;BRADESCO;1.253.093.907;1,194
BBDC4;BRADESCO;4.261.649.634;4,78
BRAP4;BRADESPAR;222.604.507;0,722
BBAS3;BRASIL;1.283.197.221;1,797
BRKM5;BRASKEM;264.640.575;0,687
BRFS3;BRF SA;811.759.800;0,967
BPAC11;BTGP BANCO;1.041.983.176;1,386
CRFB3;CARREFOUR BR;391.758.726;0,359
CCRO3;CCR SA;1.115.693.556;0,654
CMIG4;CEMIG;1.081.211.185;0,572
HGTX3;CIA HERING;126.186.408;0,188
CIEL3;CIELO;1.112.196.638;0,176
COGN3;COGNA ON;1.847.994.874;0,349
CPLE6;COPEL;570.829.074;0,148
CSAN3;COSAN;1.169.237.744;1,221
CPFE3;CPFL ENERGIA;187.714.249;0,22
CVCB3;CVC BRASIL;225.955.651;0,273
CYRE3;CYRELA REALT;281.154.098;0,286
ECOR3;ECORODOVIAS;172.602.770;0,09
ELET3;ELETROBRAS;358.018.408;0,674
ELET6;ELETROBRAS;242.977.127;0,458
EMBR3;EMBRAER;736.143.105;0,606
ENBR3;ENERGIAS BR;231.489.471;0,178
ENGI11;ENERGISA;250.679.709;0,509
ENEV3;ENEVA;1.248.545.726;0,924
EGIE3;ENGIE BRASIL;254.792.279;0,435
EQTL3;EQUATORIAL;1.010.286.085;1,092
EZTC3;EZTEC;95.756.217;0,13
FLRY3;FLEURY;303.800.430;0,343
GGBR4;GERDAU;995.903.643;1,286
GOAU4;GERDAU MET;693.699.918;0,418
GOLL4;GOL;178.123.292;0,178
NTCO3;GRUPO NATURA;841.433.075;2,082
HAPV3;HAPVIDA;1.265.256.490;0,85
HYPE3;HYPERA;410.147.968;0,616
IGTA3;IGUATEMI;85.796.919;0,151
GNDI3;INTERMEDICA;593.438.080;2,197
IRBR3;IRBBRASIL RE;1.255.286.531;0,316
ITSA4;ITAUSA;4.515.538.171;2,195
ITUB4;ITAUUNIBANCO;4.770.095.054;6,194
JBSS3;JBS;1.388.025.890;1,761
JHSF3;JHSF PART;288.832.602;0,092
KLBN11;KLABIN S/A;922.294.338;1,059
RENT3;LOCALIZA;593.841.434;1,657
LCAM3;LOCAMERICA;323.763.077;0,387
LWSA3;LOCAWEB;427.663.748;0,504
LAME4;LOJAS AMERIC;847.010.651;0,797
LREN3;LOJAS RENNER;887.417.914;1,711
MGLU3;MAGAZ LUIZA;2.668.955.512;2,461
MRFG3;MARFRIG;368.864.634;0,307
BEEF3;MINERVA;240.482.896;0,098
MRVE3;MRV;293.978.672;0,209
MULT3;MULTIPLAN;245.888.754;0,252
PCAR3;P.ACUCAR-CBD;156.928.631;0,264
PETR3;PETROBRAS;3.620.580.434;4,781
PETR4;PETROBRAS;4.566.457.037;5,859
BRDT3;PETROBRAS BR;1.164.958.126;1,355
PRIO3;PETRORIO;807.220.415;0,686
QUAL3;QUALICORP;283.467.789;0,357
RADL3;RAIADROGASIL;1.072.645.150;1,155
RAIL3;RUMO S.A.;1.218.081.171;1,017
SBSP3;SABESP;339.999.111;0,542
SANB11;SANTANDER BR;355.642.348;0,628
CSNA3;SID NACIONAL;642.398.790;1,232
SULA11;SUL AMERICA;284.566.116;0,432
SUZB3;SUZANO S.A.;724.921.241;1,89
TAEE11;TAESA;218.568.274;0,352
VIVT3;TELEF BRASIL;444.219.852;0,807
TIMS3;TIM;808.485.985;0,406
TOTS3;TOTVS;480.228.410;0,788
UGPA3;ULTRAPAR;1.085.987.426;0,871
USIM5;USIMINAS;513.796.208;0,428
VALE3;VALE;2.456.887.211;12,13
VVAR3;VIAVAREJO;1.595.508.601;1,098
WEGE3;WEG;1.482.296.002;2,177
YDUQ3;YDUQS PART;300.483.575;0,43
