Código;Ação;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;129.507.288;0,201
ABCB4;ABC BRASIL;70.580.422;0,038
AERI3;AERIS;218.058.827;0,074
AESB3;AES BRASIL;149.647.285;0,071
ALSO3;ALIANSCSONAE;127.376.805;0,127
AALR3;ALLIAR;46.716.473;0,019
ALPA4;ALPARGATAS;168.770.200;0,29
ALUP11;ALUPAR;178.970.157;0,162
ABEV3;AMBEV S/A;4.358.542.894;2,549
AMBP3;AMBIPAR;43.733.334;0,068
ANIM3;ANIMA;288.432.555;0,136
ARZZ3;AREZZO CO;45.095.471;0,146
ASAI3;ASSAI;156.928.631;0,465
AZUL4;AZUL;327.262.616;0,492
BTOW3;B2W DIGITAL;201.802.882;0,458
B3SA3;B3;6.119.434.194;3,527
BMGB4;BANCO BMG;99.052.274;0,016
BIDI4;BANCO INTER;100.239.024;0,09
BIDI11;BANCO INTER;453.631.743;1,209
BPAN4;BANCO PAN;341.124.068;0,281
BRSR6;BANRISUL;202.531.540;0,092
BBSE3;BBSEGURIDADE;671.584.841;0,531
BKBR3;BK BRASIL;272.245.759;0,111
BRML3;BR MALLS PAR;843.728.684;0,294
BRPR3;BR PROPERT;198.812.616;0,062
BBDC3;BRADESCO;1.253.093.907;0,938
BBDC4;BRADESCO;4.261.649.634;3,757
BRAP4;BRADESPAR;222.604.507;0,567
BBAS3;BRASIL;1.283.197.221;1,412
AGRO3;BRASILAGRO;51.771.532;0,053
BRKM5;BRASKEM;264.640.575;0,54
BRFS3;BRF SA;811.759.800;0,76
BPAC11;BTGP BANCO;1.041.983.176;1,09
CAML3;CAMIL;116.264.997;0,038
CRFB3;CARREFOUR BR;391.758.726;0,282
CCRO3;CCR SA;1.115.693.556;0,514
CEAB3;CEA MODAS;106.394.635;0,052
CMIG3;CEMIG;266.451.715;0,133
CMIG4;CEMIG;1.081.211.185;0,449
CESP6;CESP;182.017.689;0,149
HGTX3;CIA HERING;126.186.408;0,148
CIEL3;CIELO;1.112.196.638;0,139
COGN3;COGNA ON;1.847.994.874;0,274
CSMG3;COPASA;188.444.559;0,1
CPLE3;COPEL;71.640.156;0,014
CPLE6;COPEL;570.829.074;0,116
CSAN3;COSAN;1.169.237.744;0,96
CPFE3;CPFL ENERGIA;187.714.249;0,173
CURY3;CURY S/A;104.545.454;0,037
CVCB3;CVC BRASIL;225.955.651;0,215
CYRE3;CYRELA REALT;281.154.098;0,225
PNVL3;DIMED;68.859.355;0,05
DIRR3;DIRECIONAL;81.360.368;0,039
DTEX3;DURATEX;273.813.447;0,223
ECOR3;ECORODOVIAS;172.602.770;0,07
ELET3;ELETROBRAS;358.018.408;0,529
ELET6;ELETROBRAS;242.977.127;0,36
EMBR3;EMBRAER;736.143.105;0,476
ENAT3;ENAUTA PART;75.939.767;0,047
ENBR3;ENERGIAS BR;231.489.471;0,14
ENGI11;ENERGISA;250.679.709;0,4
ENEV3;ENEVA;1.258.511.620;0,732
EGIE3;ENGIE BRASIL;254.792.279;0,342
ENJU3;ENJOEI;167.521.497;0,059
EQTL3;EQUATORIAL;1.010.286.085;0,858
EVEN3;EVEN;209.535.948;0,075
EZTC3;EZTEC;95.756.217;0,103
FESA4;FERBASA;40.145.300;0,061
FLRY3;FLEURY;303.800.430;0,27
GFSA3;GAFISA;118.208.091;0,018
GGBR4;GERDAU;995.903.643;1,01
GOAU4;GERDAU MET;693.699.918;0,329
GOLL4;GOL;178.123.292;0,14
GRND3;GRENDENE;268.371.180;0,092
GMAT3;GRUPO MATEUS;463.952.163;0,126
NTCO3;GRUPO NATURA;841.433.075;1,636
SBFG3;GRUPO SBF;88.709.474;0,116
SOMA3;GRUPO SOMA;183.851.421;0,1
GUAR3;GUARARAPES;81.944.760;0,058
HAPV3;HAPVIDA;1.265.256.490;0,668
HBOR3;HELBOR;65.261.522;0,019
HBSA3;HIDROVIAS;325.623.566;0,072
HYPE3;HYPERA;410.147.968;0,484
IGTA3;IGUATEMI;85.796.919;0,119
PARD3;IHPARDINI;43.661.030;0,031
MEAL3;IMC S/A;264.441.032;0,037
ROMI3;INDS ROMI;37.272.660;0,031
GNDI3;INTERMEDICA;593.438.080;1,727
MYPK3;IOCHP-MAXION;141.465.625;0,078
RANI3;IRANI;85.725.289;0,027
IRBR3;IRBBRASIL RE;1.255.286.531;0,248
ITSA4;ITAUSA;4.515.538.171;1,725
ITUB3;ITAUUNIBANCO;384.789.136;0,352
ITUB4;ITAUUNIBANCO;4.770.095.054;4,867
JBSS3;JBS;1.388.025.890;1,384
JPSA3;JEREISSATI;34.833.911;0,04
JHSF3;JHSF PART;288.832.602;0,072
KLBN11;KLABIN S/A;922.294.338;0,833
LAVV3;LAVVI;93.139.429;0,026
LIGT3;LIGHT S/A;372.555.324;0,195
RENT3;LOCALIZA;593.841.434;1,302
LCAM3;LOCAMERICA;323.763.077;0,304
LWSA3;LOCAWEB;427.663.748;0,396
LOGG3;LOG COM PROP;59.190.591;0,065
LOGN3;LOG-IN;100.109.944;0,065
LAME3;LOJAS AMERIC;249.502.964;0,177
LAME4;LOJAS AMERIC;847.010.651;0,626
AMAR3;LOJAS MARISA;111.476.495;0,035
LREN3;LOJAS RENNER;887.417.914;1,345
LPSB3;LOPES BRASIL;114.874.308;0,019
MDIA3;M.DIASBRANCO;83.669.782;0,093
MGLU3;MAGAZ LUIZA;2.668.955.512;1,934
POMO4;MARCOPOLO;573.419.889;0,067
MRFG3;MARFRIG;368.864.634;0,242
CASH3;MELIUZ;74.543.311;0,126
LEVE3;METAL LEVE;38.492.519;0,044
MILS3;MILLS;115.486.678;0,034
BEEF3;MINERVA;240.482.896;0,077
MTRE3;MITRE REALTY;54.039.454;0,022
MOVI3;MOVIDA;132.113.940;0,089
MRVE3;MRV;293.978.672;0,164
MULT3;MULTIPLAN;245.888.754;0,198
NEOE3;NEOENERGIA;226.098.192;0,135
NGRD3;NEOGRID;108.100.000;0,021
ODPV3;ODONTOPREV;263.448.316;0,118
OMGE3;OMEGA GER;122.249.557;0,159
PCAR3;P.ACUCAR-CBD;156.928.631;0,208
PETR3;PETROBRAS;3.684.060.179;3,823
PETR4;PETROBRAS;4.566.457.037;4,604
BRDT3;PETROBRAS BR;1.164.958.126;1,065
PRIO3;PETRORIO;807.220.415;0,539
PETZ3;PETZ;261.956.811;0,231
PSSA3;PORTO SEGURO;93.637.072;0,172
PTBL3;PORTOBELLO;69.996.578;0,042
POSI3;POSITIVO TEC;78.616.498;0,033
QUAL3;QUALICORP;283.467.789;0,281
LJQQ3;QUERO-QUERO;177.734.774;0,139
RADL3;RAIADROGASIL;1.072.645.150;0,908
RAPT4;RANDON PART;177.421.406;0,082
RCSL4;RECRUSUL;50.414.424;0,004
RDOR3;REDE D OR;903.127.590;2,136
RAIL3;RUMO S.A.;1.218.081.171;0,799
SBSP3;SABESP;339.999.111;0,426
SAPR4;SANEPAR;203.503.821;0,029
SAPR11;SANEPAR;200.991.234;0,14
SANB11;SANTANDER BR;355.642.348;0,493
STBP3;SANTOS BRP;857.995.211;0,265
SMTO3;SAO MARTINHO;143.032.073;0,177
SEQL3;SEQUOIA LOG;109.785.229;0,106
SEER3;SER EDUCA;54.346.207;0,035
CSNA3;SID NACIONAL;642.398.790;0,968
SIMH3;SIMPAR;85.662.375;0,163
SQIA3;SINQIA;58.702.058;0,05
SLCE3;SLC AGRICOLA;86.086.214;0,151
SULA11;SUL AMERICA;284.566.116;0,339
SUZB3;SUZANO S.A.;724.921.241;1,485
TAEE11;TAESA;218.568.274;0,277
TASA4;TAURUS ARMAS;48.884.169;0,04
TCSA3;TECNISA;54.501.246;0,016
TGMA3;TEGMA;32.001.480;0,027
VIVT3;TELEF BRASIL;444.219.852;0,634
TEND3;TENDA;96.408.761;0,083
TIMS3;TIM;808.485.985;0,319
TOTS3;TOTVS;480.228.410;0,619
TRPL4;TRAN PAULIST;395.797.044;0,34
TRIS3;TRISUL;78.643.944;0,026
TUPY3;TUPY;66.821.197;0,054
UGPA3;ULTRAPAR;1.085.987.426;0,684
UNIP6;UNIPAR;44.332.601;0,15
USIM5;USIMINAS;513.796.208;0,336
VALE3;VALE;4.997.125.690;19,388
VLID3;VALID;78.582.401;0,03
VVAR3;VIAVAREJO;1.595.508.601;0,863
VIVA3;VIVARA S.A.;93.368.726;0,105
VULC3;VULCABRAS;74.685.291;0,025
WEGE3;WEG;1.482.296.002;1,711
WIZS3;WIZ S.A.;77.719.799;0,047
YDUQ3;YDUQS PART;300.483.575;0,338
