Código;Ação;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;4.358.542.894;3,279
AZUL4;AZUL;327.262.616;0,633
BTOW3;B2W DIGITAL;201.802.882;0,589
B3SA3;B3;6.119.434.194;4,537
BBSE3;BBSEGURIDADE;671.584.841;0,684
BRML3;BR MALLS PAR;843.728.684;0,377
BBDC4;BRADESCO;4.261.649.634;4,833
BBAS3;BRASIL;1.283.197.221;1,817
BRFS3;BRF SA;811.759.800;0,978
BPAC11;BTGP BANCO;1.041.983.176;1,401
CMIG4;CEMIG;1.081.211.185;0,578
CIEL3;CIELO;1.112.196.638;0,178
COGN3;COGNA ON;1.847.994.874;0,353
CSAN3;COSAN;1.169.237.744;1,235
CYRE3;CYRELA REALT;281.154.098;0,289
ELET3;ELETROBRAS;358.018.408;0,681
EMBR3;EMBRAER;736.143.105;0,612
EQTL3;EQUATORIAL;1.010.286.085;1,105
GGBR4;GERDAU;995.903.643;1,3
GOAU4;GERDAU MET;693.699.918;0,423
GOLL4;GOL;178.123.292;0,18
NTCO3;GRUPO NATURA;841.433.075;2,104
HAPV3;HAPVIDA;1.265.256.490;0,859
GNDI3;INTERMEDICA;593.438.080;2,221
IRBR3;IRBBRASIL RE;1.255.286.531;0,32
ITSA4;ITAUSA;4.515.538.171;2,219
ITUB4;ITAUUNIBANCO;4.770.095.054;6,262
JBSS3;JBS;1.388.025.890;1,78
KLBN11;KLABIN S/A;922.294.338;1,071
RENT3;LOCALIZA;593.841.434;1,675
LAME4;LOJAS AMERIC;847.010.651;0,806
LREN3;LOJAS RENNER;887.417.914;1,73
MGLU3;MAGAZ LUIZA;2.668.955.512;2,488
MRFG3;MARFRIG;368.864.634;0,311
MULT3;MULTIPLAN;245.888.754;0,255
PETR3;PETROBRAS;3.684.060.179;4,918
PETR4;PETROBRAS;4.566.457.037;5,923
BRDT3;PETROBRAS BR;1.164.958.126;1,37
PRIO3;PETRORIO;807.220.415;0,693
RADL3;RAIADROGASIL;1.072.645.150;1,168
RAIL3;RUMO S.A.;1.218.081.171;1,028
SBSP3;SABESP;339.999.111;0,548
CSNA3;SID NACIONAL;642.398.790;1,246
SUZB3;SUZANO S.A.;724.921.241;1,911
TOTS3;TOTVS;480.228.410;0,797
UGPA3;ULTRAPAR;1.085.987.426;0,88
USIM5;USIMINAS;513.796.208;0,433
VALE3;VALE;5.130.801.424;25,61
VVAR3;VIAVAREJO;1.595.508.601;1,11
WEGE3;WEG;1.482.296.002;2,202
