Código;Ação;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;259.014.576;0,243
ABCB4;ABC BRASIL;105.870.633;0,034
AERI3;AERIS;436.117.654;0,089
AESB3;AES BRASIL;299.294.570;0,086
ALSO3;ALIANSCSONAE;254.753.610;0,153
AALR3;ALLIAR;93.432.946;0,023
ALLD3;ALLIED;57.012.558;0,044
ALPA3;ALPARGATAS;11.390.682;0,01
ALPA4;ALPARGATAS;168.770.200;0,175
APER3;ALPER S.A.;28.817.186;0,029
AVLL3;ALPHAVILLE;9.335.900;0,005
ALUP11;ALUPAR;268.455.235;0,147
AMBP3;AMBIPAR;87.466.668;0,082
ANIM3;ANIMA;576.865.110;0,165
ARZZ3;AREZZO CO;90.190.942;0,176
ASAI3;ASSAI;313.857.262;0,561
AZUL4;AZUL;490.893.924;0,445
BTOW3;B2W DIGITAL;403.605.764;0,553
B3SA3;B3;12.238.868.388;4,255
BMGB4;BANCO BMG;99.052.274;0,01
BIDI4;BANCO INTER;150.358.536;0,081
BIDI11;BANCO INTER;680.447.614;1,094
BPAN4;BANCO PAN;341.124.068;0,17
BRSR3;BANRISUL;3.839.426;0,001
BRSR6;BANRISUL;202.531.540;0,056
BBSE3;BBSEGURIDADE;1.343.169.682;0,641
BMOB3;BEMOBI TECH;176.180.636;0,085
BKBR3;BK BRASIL;544.491.518;0,134
BLAU3;BLAU;350.598.156;0,361
SOJA3;BOA SAFRA;80.808.080;0,026
BOAS3;BOA VISTA;1.045.785.604;0,238
BBRK3;BR BROKERS;155.468.896;0,009
BRML3;BR MALLS PAR;1.687.457.368;0,354
BRBI11;BR PARTNERS;34.125.000;0,015
BRPR3;BR PROPERT;397.625.232;0,075
BBDC3;BRADESCO;1.253.093.907;0,566
BBDC4;BRADESCO;4.261.649.634;2,266
BRAP3;BRADESPAR;26.906.369;0,036
BRAP4;BRADESPAR;222.604.507;0,342
BBAS3;BRASIL;2.566.394.442;1,704
AGRO3;BRASILAGRO;103.543.064;0,064
BRKM3;BRASKEM;12.907.077;0,016
BRKM5;BRASKEM;264.640.575;0,326
BRFS3;BRF SA;1.623.519.600;0,917
BPAC11;BTGP BANCO;1.562.974.764;0,986
CXSE3;CAIXA SEGURI;900.000.000;0,243
CAML3;CAMIL;232.529.994;0,046
CRFB3;CARREFOUR BR;783.517.452;0,34
CCRO3;CCR SA;2.231.387.112;0,62
CEAB3;CEA MODAS;212.789.270;0,063
CEDO3;CEDRO;2.019.831;0
CEDO4;CEDRO;3.456.367;0,001
CLSC4;CELESC;34.215.223;0,048
CMIG3;CEMIG;266.451.715;0,08
CMIG4;CEMIG;1.081.211.185;0,271
CESP3;CESP;7.076.043;0,004
CESP5;CESP;7.386.322;0,006
CESP6;CESP;182.017.689;0,09
HGTX3;CIA HERING;252.372.816;0,178
CIEL3;CIELO;2.224.393.276;0,167
COGN3;COGNA ON;3.695.989.748;0,331
CSMG3;COPASA;376.889.118;0,121
CPLE3;COPEL;71.640.156;0,008
CPLE6;COPEL;570.829.074;0,07
CSAN3;COSAN;2.338.475.488;1,158
CPFE3;CPFL ENERGIA;375.428.498;0,209
CSED3;CRUZEIRO EDU;155.510.400;0,049
CMIN3;CSNMINERACAO;1.800.165.217;0,341
CARD3;CSU CARDSYST;36.435.542;0,017
CURY3;CURY S/A;209.090.908;0,044
CVCB3;CVC BRASIL;451.911.302;0,259
CCPR3;CYRE COM-CCP;118.773.972;0,029
CYRE3;CYRELA REALT;562.308.196;0,272
DMVF3;D1000VFARMA;47.072.410;0,009
DASA3;DASA;102.570.802;0,131
PNVL3;DIMED;103.289.032;0,046
PNVL4;DIMED;20.228.535;0,009
DIRR3;DIRECIONAL;162.720.736;0,047
DOTZ3;DOTZ SA;67.449.304;0,019
DTEX3;DURATEX;547.626.894;0,269
ECOR3;ECORODOVIAS;345.205.540;0,085
ELET3;ELETROBRAS;358.018.408;0,319
ELET6;ELETROBRAS;242.977.127;0,218
ELMD3;ELETROMIDIA;101.818.400;0,038
EMBR3;EMBRAER;1.472.286.210;0,574
ENAT3;ENAUTA PART;151.879.534;0,057
ENBR3;ENERGIAS BR;462.978.942;0,169
ENGI11;ENERGISA;376.019.563;0,362
ENEV3;ENEVA;2.517.023.240;0,883
EGIE3;ENGIE BRASIL;509.584.558;0,412
ENJU3;ENJOEI;335.042.994;0,071
EQTL3;EQUATORIAL;2.020.572.170;1,036
ESPA3;ESPACOLASER;323.104.714;0,127
ALPK3;ESTAPAR;207.421.534;0,035
EUCA3;EUCATEX;12.765.018;0,006
EUCA4;EUCATEX;56.114.621;0,011
EVEN3;EVEN;419.071.896;0,091
EZTC3;EZTEC;191.512.434;0,123
FESA4;FERBASA;40.145.300;0,037
FLRY3;FLEURY;607.600.860;0,326
POWE3;FOCUS ON;85.728.162;0,029
FRAS3;FRAS-LE;102.669.124;0,027
GFSA3;GAFISA;236.416.182;0,022
