Código;Ação;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;129.507.288;0,348
AERI3;AERIS;218.058.827;0,128
AESB3;AES BRASIL;149.647.285;0,124
ALSO3;ALIANSCSONAE;127.376.805;0,219
AALR3;ALLIAR;46.716.473;0,033
ALLD3;ALLIED;28.506.279;0,063
APER3;ALPER S.A.;14.408.593;0,042
AVLL3;ALPHAVILLE;4.667.950;0,007
AMBP3;AMBIPAR;43.733.334;0,118
ANIM3;ANIMA;288.432.555;0,236
ARZZ3;AREZZO CO;45.095.471;0,253
ASAI3;ASSAI;156.928.631;0,806
BTOW3;B2W DIGITAL;201.802.882;0,793
B3SA3;B3;6.119.434.194;6,108
BBSE3;BBSEGURIDADE;671.584.841;0,92
BMOB3;BEMOBI TECH;88.090.318;0,123
BKBR3;BK BRASIL;272.245.759;0,193
BLAU3;BLAU;175.299.078;0,518
SOJA3;BOA SAFRA;40.404.040;0,037
BOAS3;BOA VISTA;522.892.802;0,341
BBRK3;BR BROKERS;77.734.448;0,012
BRML3;BR MALLS PAR;843.728.684;0,508
BRPR3;BR PROPERT;198.812.616;0,108
BBAS3;BRASIL;1.283.197.221;2,446
AGRO3;BRASILAGRO;51.771.532;0,092
BRFS3;BRF SA;811.759.800;1,316
CXSE3;CAIXA SEGURI;450.000.000;0,349
CAML3;CAMIL;116.264.997;0,066
CRFB3;CARREFOUR BR;391.758.726;0,488
CCRO3;CCR SA;1.115.693.556;0,89
CEAB3;CEA MODAS;106.394.635;0,091
HGTX3;CIA HERING;126.186.408;0,256
CIEL3;CIELO;1.112.196.638;0,24
COGN3;COGNA ON;1.847.994.874;0,475
CSMG3;COPASA;188.444.559;0,173
CSAN3;COSAN;1.169.237.744;1,662
CPFE3;CPFL ENERGIA;187.714.249;0,3
CSED3;CRUZEIRO EDU;77.755.200;0,071
CARD3;CSU CARDSYST;18.217.771;0,025
CURY3;CURY S/A;104.545.454;0,064
CVCB3;CVC BRASIL;225.955.651;0,371
CCPR3;CYRE COM-CCP;59.386.986;0,042
CYRE3;CYRELA REALT;281.154.098;0,389
DMVF3;D1000VFARMA;23.536.205;0,013
DASA3;DASA;51.285.401;0,188
DIRR3;DIRECIONAL;81.360.368;0,068
DOTZ3;DOTZ SA;33.724.652;0,028
DTEX3;DURATEX;273.813.447;0,387
ECOR3;ECORODOVIAS;172.602.770;0,121
ELMD3;ELETROMIDIA;50.909.200;0,054
EMBR3;EMBRAER;736.143.105;0,824
ENAT3;ENAUTA PART;75.939.767;0,081
ENBR3;ENERGIAS BR;231.489.471;0,243
ENEV3;ENEVA;1.258.511.620;1,268
EGIE3;ENGIE BRASIL;254.792.279;0,592
ENJU3;ENJOEI;167.521.497;0,102
EQTL3;EQUATORIAL;1.010.286.085;1,487
ESPA3;ESPACOLASER;161.552.357;0,182
ALPK3;ESTAPAR;103.710.767;0,05
EVEN3;EVEN;209.535.948;0,13
EZTC3;EZTEC;95.756.217;0,177
FLRY3;FLEURY;303.800.430;0,467
POWE3;FOCUS ON;42.864.081;0,042
GFSA3;GAFISA;118.208.091;0,031
GSHP3;GENERALSHOPP;1.875.251;0,004
NINJ3;GETNINJAS;42.897.889;0,068
GGPS3;GPS;667.490.790;0,682
GRND3;GRENDENE;268.371.180;0,16
GMAT3;GRUPO MATEUS;463.952.163;0,218
NTCO3;GRUPO NATURA;841.433.075;2,833
SBFG3;GRUPO SBF;88.709.474;0,201
SOMA3;GRUPO SOMA;183.851.421;0,174
HAPV3;HAPVIDA;1.265.256.490;1,157
HBRE3;HBR REALTY;24.540.000;0,026
HBOR3;HELBOR;65.261.522;0,033
HBSA3;HIDROVIAS;325.623.566;0,124
HYPE3;HYPERA;410.147.968;0,839
IGTA3;IGUATEMI;85.796.919;0,206
PARD3;IHPARDINI;43.661.030;0,054
MEAL3;IMC S/A;264.441.032;0,064
ROMI3;INDS ROMI;37.272.660;0,054
IFCM3;INFRACOMM;231.208.845;0,326
INTB3;INTELBRAS;82.800.000;0,141
GNDI3;INTERMEDICA;593.438.080;2,99
MYPK3;IOCHP-MAXION;141.465.625;0,135
RANI3;IRANI;85.725.289;0,047
IRBR3;IRBBRASIL RE;1.255.286.531;0,43
JALL3;JALLESMACHAD;97.713.448;0,059
JBSS3;JBS;1.388.025.890;2,397
JHSF3;JHSF PART;288.832.602;0,124
JSLG3;JSL;63.399.039;0,045
LAVV3;LAVVI;93.139.429;0,046
LIGT3;LIGHT S/A;372.555.324;0,337
RENT3;LOCALIZA;593.841.434;2,255
LCAM3;LOCAMERICA;323.763.077;0,527
LWSA3;LOCAWEB;427.663.748;0,687
LOGG3;LOG COM PROP;59.190.591;0,112
LOGN3;LOG-IN;100.109.944;0,112
AMAR3;LOJAS MARISA;111.476.495;0,061
LREN3;LOJAS RENNER;887.417.914;2,329
LPSB3;LOPES BRASIL;114.874.308;0,032
MDIA3;M.DIASBRANCO;83.669.782;0,162
MGLU3;MAGAZ LUIZA;2.668.955.512;3,349
MRFG3;MARFRIG;368.864.634;0,419
MATD3;MATER DEI;354.723.193;0,353
CASH3;MELIUZ;74.543.311;0,218
MELK3;MELNICK;76.214.700;0,028
LEVE3;METAL LEVE;38.492.519;0,076
MILS3;MILLS;115.486.678;0,06
BEEF3;MINERVA;240.482.896;0,134
MTRE3;MITRE REALTY;54.039.454;0,038
