Código;Ação;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;129.507.288;0,211
ABCB4;ABC BRASIL;70.580.422;0,04
AERI3;AERIS;218.058.827;0,078
AESB3;AES BRASIL;149.647.285;0,075
ALSO3;ALIANSCSONAE;127.376.805;0,133
AALR3;ALLIAR;46.716.473;0,02
ALLD3;ALLIED;28.506.279;0,038
APER3;ALPER S.A.;14.408.593;0,025
AVLL3;ALPHAVILLE;4.667.950;0,004
ALUP11;ALUPAR;178.970.157;0,17
AMBP3;AMBIPAR;43.733.334;0,072
ANIM3;ANIMA;288.432.555;0,143
ARZZ3;AREZZO CO;45.095.471;0,153
ASAI3;ASSAI;156.928.631;0,488
AZUL4;AZUL;327.262.616;0,516
BTOW3;B2W DIGITAL;201.802.882;0,481
B3SA3;B3;6.119.434.194;3,7
BAHI3;BAHEMA;1.379.591;0,004
BMGB4;BANCO BMG;99.052.274;0,017
BIDI4;BANCO INTER;100.239.024;0,094
BIDI11;BANCO INTER;453.631.743;1,268
BPAN4;BANCO PAN;341.124.068;0,295
BGIP4;BANESE;1.063.111;0,001
BRSR3;BANRISUL;3.839.426;0,002
BRSR6;BANRISUL;202.531.540;0,097
BBSE3;BBSEGURIDADE;671.584.841;0,558
BMOB3;BEMOBI TECH;88.090.318;0,074
BIOM3;BIOMM;19.799.632;0,011
BKBR3;BK BRASIL;272.245.759;0,117
BLAU3;BLAU;175.299.078;0,314
SOJA3;BOA SAFRA;40.404.040;0,022
BOAS3;BOA VISTA;522.892.802;0,207
BBRK3;BR BROKERS;77.734.448;0,008
BRML3;BR MALLS PAR;843.728.684;0,307
BRPR3;BR PROPERT;198.812.616;0,066
BBDC3;BRADESCO;1.253.093.907;0,985
BBDC4;BRADESCO;4.261.649.634;3,941
BRAP3;BRADESPAR;26.906.369;0,062
BRAP4;BRADESPAR;222.604.507;0,595
BBAS3;BRASIL;1.283.197.221;1,482
AGRO3;BRASILAGRO;51.771.532;0,056
