Código;Índice;Qtde Teórica;Part. (%)
ABEV3;Ibovespa;4358542894;3.243
ASAI3;Ibovespa;88180251;0.333
AZUL4;Ibovespa;327262616;0.626
BTOW3;Ibovespa;201802882;0.583
B3SA3;Ibovespa;6119434194;4.487
BIDI11;Ibovespa;235350939;0.798
BBSE3;Ibovespa;671584841;0.676
BRML3;Ibovespa;843728684;0.373
BBDC3;Ibovespa;1253093907;1.194
BBDC4;Ibovespa;4261649634;4.780
BRAP4;Ibovespa;222604507;0.722
BBAS3;Ibovespa;1283197221;1.797
BRKM5;Ibovespa;264640575;0.687
BRFS3;Ibovespa;811759800;0.967
BPAC11;Ibovespa;1041983176;1.386
CRFB3;Ibovespa;391758726;0.359
CCRO3;Ibovespa;1115693556;0.654
CMIG4;Ibovespa;1081211185;0.572
HGTX3;Ibovespa;126186408;0.188
CIEL3;Ibovespa;1112196638;0.176
COGN3;Ibovespa;1847994874;0.349
CPLE6;Ibovespa;570829074;0.148
CSAN3;Ibovespa;1169237744;1.221
CPFE3;Ibovespa;187714249;0.220
CVCB3;Ibovespa;225955651;0.273
CYRE3;Ibovespa;281154098;0.286
ECOR3;Ibovespa;172602770;0.090
ELET3;Ibovespa;358018408;0.674
ELET6;Ibovespa;242977127;0.458
EMBR3;Ibovespa;736143105;0.606
ENBR3;Ibovespa;231489471;0.178
ENGI11;Ibovespa;250679709;0.509
ENEV3;Ibovespa;1248545726;0.924
EGIE3;Ibovespa;254792279;0.435
EQTL3;Ibovespa;1010286085;1.092
EZTC3;Ibovespa;95756217;0.130
FLRY3;Ibovespa;303800430;0.343
GGBR4;Ibovespa;995903643;1.286
GOAU4;Ibovespa;693699918;0.418
GOLL4;Ibovespa;178123292;0.178
NTCO3;Ibovespa;841433075;2.082
HAPV3;Ibovespa;1265256490;0.850
HYPE3;Ibovespa;410147968;0.616
IGTA3;Ibovespa;85796919;0.151
GNDI3;Ibovespa;593438080;2.197
IRBR3;Ibovespa;1255286531;0.316
ITSA4;Ibovespa;4515538171;2.195
ITUB4;Ibovespa;4770095054;6.194
JBSS3;Ibovespa;1388025890;1.761
JHSF3;Ibovespa;288832602;0.092
KLBN11;Ibovespa;922294338;1.059
RENT3;Ibovespa;593841434;1.657
LCAM3;Ibovespa;323763077;0.387
LWSA3;Ibovespa;427663748;0.504
LAME4;Ibovespa;847010651;0.797
LREN3;Ibovespa;887417914;1.711
MGLU3;Ibovespa;2668955512;2.461
MRFG3;Ibovespa;368864634;0.307
BEEF3;Ibovespa;240482896;0.098
MRVE3;Ibovespa;293978672;0.209
MULT3;Ibovespa;245888754;0.252
PCAR3;Ibovespa;156928631;0.264
PETR3;Ibovespa;3620580434;4.781
PETR4;Ibovespa;4566457037;5.859
BRDT3;Ibovespa;1164958126;1.355
PRIO3;Ibovespa;807220415;0.686
QUAL3;Ibovespa;283467789;0.357
RADL3;Ibovespa;1072645150;1.155
RAIL3;Ibovespa;1218081171;1.017
SBSP3;Ibovespa;339999111;0.542
SANB11;Ibovespa;355642348;0.628
