Código;Ação;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;143.406.221;0,664
BRSR6;BANRISUL;411.506.222;1,629
BBSE3;BBSEGURIDADE;666.221.628;4,71
BRAP4;BRADESPAR;139.111.884;3,138
BBAS3;BRASIL;265.544.030;2,569
AGRO3;BRASILAGRO;105.190.073;0,947
CCRO3;CCR SA;579.476.887;2,386
CMIG3;CEMIG;541.380.066;2,354
CMIG4;CEMIG;744.527.240;2,694
CESP6;CESP;369.825.912;2,69
CSMG3;COPASA;382.884.110;1,737
CPLE3;COPEL;145.559.402;0,247
CPLE6;COPEL;1.159.817.951;2,093
CYRE3;CYRELA REALT;571.252.560;3,957
DIRR3;DIRECIONAL;165.309.055;0,692
ENBR3;ENERGIAS BR;470.343.323;2,515
EGIE3;ENGIE BRASIL;174.847.379;2,081
FESA4;FERBASA;81.567.743;1,081
GRND3;GRENDENE;545.280.061;1,648
ROMI3;INDS ROMI;75.731.076;0,569
ITSA4;ITAUSA;1.210.949.386;4,116
ITUB3;ITAUUNIBANCO;496.338.315;4,004
ITUB4;ITAUUNIBANCO;388.888.030;3,514
JHSF3;JHSF PART;586.853.844;1,266
LEVE3;METAL LEVE;78.209.601;0,782
MRVE3;MRV;591.809.917;2,903
BRDT3;PETROBRAS BR;903.149.549;7,861
PSSA3;PORTO SEGURO;190.253.023;3,139
QUAL3;QUALICORP;257.788.132;2,226
SAPR4;SANEPAR;413.481.715;0,51
SANB11;SANTANDER BR;183.742.990;2,27
CSNA3;SID NACIONAL;257.096.472;3,398
SLCE3;SLC AGRICOLA;174.911.091;2,768
TAEE11;TAESA;444.089.867;4,977
TGMA3;TEGMA;65.021.024;0,456
VIVT3;TELEF BRASIL;427.927.171;5,42
TRPL4;TRAN PAULIST;804.185.592;6,003
TRIS3;TRISUL;159.789.790;0,474
UNIP6;UNIPAR;90.075.556;2,7
WIZS3;WIZ S.A.;157.912.100;0,812
