Código;Ação;Qtde. Teórica;Part. (%)
AESB3;AES BRASIL;12.600;5,221
ALUP11;ALUPAR;7.300;5,74
CMIG4;CEMIG;13.400;4,845
CESP6;CESP;7.500;5,352
COCE5;COELCE;3.400;6,182
CPLE6;COPEL;29.700;5,25
CPFE3;CPFL ENERGIA;6.300;5,054
ELET3;ELETROBRAS;5.200;6,692
ENBR3;ENERGIAS BR;10.100;5,323
ENGI11;ENERGISA;4.200;5,834
ENEV3;ENEVA;12.400;6,276
EGIE3;ENGIE BRASIL;4.700;5,485
EQTL3;EQUATORIAL;7.400;5,47
LIGT3;LIGHT S/A;10.500;4,776
NEOE3;NEOENERGIA;11.500;5,955
OMGE3;OMEGA GER;4.900;5,55
TAEE11;TAESA;5.100;5,61
TRPL4;TRAN PAULIST;7.200;5,385
