Código;Ação;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;70.580.422;0,2
B3SA3;B3;5.951.134.947;18,092
BMGB4;BANCO BMG;99.052.274;0,086
BIDI4;BANCO INTER;100.239.024;0,474
BIDI11;BANCO INTER;453.631.743;6,378
BPAN4;BANCO PAN;341.124.068;1,484
BRSR6;BANRISUL;202.531.540;0,485
BBSE3;BBSEGURIDADE;671.584.841;2,804
BBDC3;BRADESCO;1.014.549.749;4,009
BBDC4;BRADESCO;3.450.384.318;16,046
BBAS3;BRASIL;1.283.197.221;7,452
BPAC11;BTGP BANCO;1.041.983.176;5,747
CIEL3;CIELO;1.112.196.638;0,732
IRBR3;IRBBRASIL RE;1.255.286.531;1,309
ITSA4;ITAUSA;4.515.538.171;9,1
ITUB3;ITAUUNIBANCO;283.712.976;1,37
ITUB4;ITAUUNIBANCO;3.517.089.586;18,934
PSSA3;PORTO SEGURO;93.637.072;0,905
SANB11;SANTANDER BR;355.642.348;2,603
SULA11;SUL AMERICA;284.566.116;1,79
