Código;Ação;Qtde. Teórica;Part. (%)
AERI3;AERIS;218.058.827;0,446
ALPA4;ALPARGATAS;168.770.200;1,716
ABEV3;AMBEV S/A;4.358.542.894;15,257
BRKM5;BRASKEM;264.640.575;3,143
BRFS3;BRF SA;811.759.800;4,467
CAML3;CAMIL;116.264.997;0,225
HGTX3;CIA HERING;126.186.408;0,87
CYRE3;CYRELA REALT;281.154.098;1,302
DIRR3;DIRECIONAL;81.360.368;0,228
DTEX3;DURATEX;273.813.447;1,269
EMBR3;EMBRAER;736.143.105;2,808
EVEN3;EVEN;209.535.948;0,432
EZTC3;EZTEC;95.756.217;0,594
GFSA3;GAFISA;118.208.091;0,106
GGBR4;GERDAU;995.903.643;5,868
GOAU4;GERDAU MET;693.699.918;1,924
GRND3;GRENDENE;268.371.180;0,542
NTCO3;GRUPO NATURA;841.433.075;9,799
HBOR3;HELBOR;65.261.522;0,108
ROMI3;INDS ROMI;37.272.660;0,188
MYPK3;IOCHP-MAXION;141.465.625;0,467
JBSS3;JBS;1.388.025.890;8,229
JHSF3;JHSF PART;288.832.602;0,417
KLBN11;KLABIN S/A;922.294.338;4,972
MDIA3;M.DIASBRANCO;83.669.782;0,536
POMO4;MARCOPOLO;573.419.889;0,406
MRFG3;MARFRIG;368.864.634;1,46
BEEF3;MINERVA;240.482.896;0,457
MRVE3;MRV;293.978.672;0,964
PTBL3;PORTOBELLO;69.996.578;0,251
POSI3;POSITIVO TEC;78.616.498;0,194
RAPT4;RANDON PART;177.421.406;0,483
SMTO3;SAO MARTINHO;143.032.073;1,05
CSNA3;SID NACIONAL;642.398.790;5,678
SUZB3;SUZANO S.A.;724.921.241;8,901
TASA4;TAURUS ARMAS;48.884.169;0,239
TCSA3;TECNISA;54.501.246;0,091
TEND3;TENDA;96.408.761;0,486
TRIS3;TRISUL;78.643.944;0,156
TUPY3;TUPY;66.821.197;0,313
USIM5;USIMINAS;513.796.208;2,017
VIVA3;VIVARA S.A.;93.368.726;0,608
WEGE3;WEG;1.482.296.002;10,333
