Código;Ação;Qtde. Teórica;Part. (%)
AESB3;AES BRASIL;149.647.285;1,107
ALUP11;ALUPAR;178.970.157;2,518
AMBP3;AMBIPAR;43.733.334;1,063
CMIG3;CEMIG;266.451.715;2,031
CMIG4;CEMIG;1.081.211.185;6,854
CESP6;CESP;182.017.689;2,319
CSMG3;COPASA;188.444.559;1,498
CPLE3;COPEL;71.640.156;0,213
CPLE6;COPEL;570.829.074;1,805
CPFE3;CPFL ENERGIA;187.714.249;2,658
ELET3;ELETROBRAS;358.018.408;8,288
ELET6;ELETROBRAS;242.977.127;5,608
ENBR3;ENERGIAS BR;231.489.471;2,168
ENGI11;ENERGISA;250.679.709;6,084
ENEV3;ENEVA;1.258.511.620;11,319
EGIE3;ENGIE BRASIL;254.792.279;5,313
EQTL3;EQUATORIAL;1.010.286.085;13,062
LIGT3;LIGHT S/A;372.555.324;2,975
NEOE3;NEOENERGIA;226.098.192;2,08
OMGE3;OMEGA GER;122.249.557;2,432
SBSP3;SABESP;339.999.111;6,544
SAPR4;SANEPAR;203.503.821;0,439
SAPR11;SANEPAR;200.991.234;2,153
TAEE11;TAESA;218.568.274;4,292
TRPL4;TRAN PAULIST;395.797.044;5,177
